term	canonical	confidence	sources	source_count	variant_of	synsets	rule_id
bus lane	bus_lane	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_lane.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus lanes	bus_lane	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus lane	bus_lane.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus line	bus_line	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_line.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus lines	bus_line	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus line	bus_line.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus route	bus_route	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_route.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus routes	bus_route	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus route	bus_route.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus station	bus_station	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus stations	bus_station	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus station	bus_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus stop	bus_stop	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_stop.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus stops	bus_stop	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus stop	bus.n.01|bus_stop.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus terminal	bus_terminal	high	visual_genome_object_synset|wordnet_noun_mwe	2		bus_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus terminals	bus_terminal	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bus terminal	bus_terminal.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bus vehicles	bus_vehicle	high	lvis_object|plural_variant	1	bus (vehicle)	bus.n.01	trusted_visual_object_label
business card	business_card	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		business_card.n.01|wordnet_noun	trusted_visual_object_label
business cards	business_card	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	business card	business_card.n.01|wordnet_noun	trusted_visual_object_label
business office	business_office	high	visual_genome_object_synset|wordnet_noun_mwe	2		office.n.01|wordnet_noun	vg_object_synset_plus_wordnet
business offices	business_office	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	business office	office.n.01|wordnet_noun	vg_object_synset_plus_wordnet
business suit	business_suit	high	visual_genome_object_synset|wordnet_noun_mwe	2		business_suit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
business suits	business_suit	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	business suit	business_suit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butcher block	butcher_block	high	visual_genome_object_synset|wordnet_noun_mwe	2		butcher_board.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butcher blocks	butcher_block	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	butcher block	butcher_board.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butcher knife	butcher_knife	high	visual_genome_object_synset|wordnet_noun_mwe	2		butcher_knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butcher knifes	butcher_knife	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	butcher knife	butcher_knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butt end	butt_end	high	visual_genome_object_synset|wordnet_noun_mwe	2		butt.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butt ends	butt_end	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	butt end	butt.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butter dish	butter_dish	high	visual_genome_object_synset|wordnet_noun_mwe	2		butter_dish.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butter dishes	butter_dish	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	butter dish	butter_dish.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butter knife	butter_knife	high	visual_genome_object_synset|wordnet_noun_mwe	2		butter_knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
butter knifes	butter_knife	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	butter knife	butter_knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
button hole	button_hole	high	visual_genome_object_synset|wordnet_noun_mwe	2		buttonhole.n.01|wordnet_noun	vg_object_synset_plus_wordnet
button holes	button_hole	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	button hole	buttonhole.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cab (taxi)	cab_taxi	high	lvis_object	1		cab.n.03	trusted_visual_object_label
cab taxis	cab_taxi	high	lvis_object|plural_variant	1	cab (taxi)	cab.n.03	trusted_visual_object_label
cabin car	cabin_car	high	lvis_object|wordnet_noun_mwe	2		cabin_car.n.01|wordnet_noun	trusted_visual_object_label
cabin cars	cabin_car	high	lvis_object|plural_variant|wordnet_noun_mwe	2	cabin car	cabin_car.n.01|wordnet_noun	trusted_visual_object_label
cable car	cable_car	high	visual_genome_object_synset|wordnet_noun_mwe	2		cable_car.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cable cars	cable_car	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cable car	cable_car.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cafeteria tray	cafeteria_tray	high	visual_genome_object_synset|wordnet_noun_mwe	2		cafeteria_tray.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cafeteria trays	cafeteria_tray	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cafeteria tray	cafeteria_tray.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cake stand	cake_stand	high	openimages_boxable	1			trusted_visual_object_label
cake stands	cake_stand	high	openimages_boxable|plural_variant	1	cake stand		trusted_visual_object_label
calico cat	calico_cat	high	visual_genome_object_synset|wordnet_noun_mwe	2		tortoiseshell.n.03|wordnet_noun	vg_object_synset_plus_wordnet
calico cats	calico_cat	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	calico cat	tortoiseshell.n.03|wordnet_noun	vg_object_synset_plus_wordnet
call box	call_box	high	lvis_object|wordnet_noun_mwe	2		telephone_booth.n.01|wordnet_noun	trusted_visual_object_label
call boxes	call_box	high	lvis_object|plural_variant|wordnet_noun_mwe	2	call box	telephone_booth.n.01|wordnet_noun	trusted_visual_object_label
calla lilies	calla_lily	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	calla lily	calla_lily.n.01|wordnet_noun	vg_object_synset_plus_wordnet
calla lily	calla_lily	high	visual_genome_object_synset|wordnet_noun_mwe	2		calla_lily.n.01|wordnet_noun	vg_object_synset_plus_wordnet
camera lens	camera_lens	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		camera_lens.n.01|wordnet_noun	trusted_visual_object_label
camp chairs	camp_chair	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	camp chair	camp_chair.n.01|wordnet_noun	vg_object_synset_plus_wordnet
camper (vehicle)	camper_vehicle	high	lvis_object	1		camper.n.02	trusted_visual_object_label
camper trailer	camper_trailer	high	visual_genome_object_synset|wordnet_noun_mwe	2		camper_trailer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
camper trailers	camper_trailer	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	camper trailer	camper_trailer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
camper vehicles	camper_vehicle	high	lvis_object|plural_variant	1	camper (vehicle)	camper.n.02	trusted_visual_object_label
camping bus	camping_bus	high	lvis_object|wordnet_noun_mwe	2		camper.n.02|wordnet_noun	trusted_visual_object_label
camping buses	camping_bus	high	lvis_object|plural_variant|wordnet_noun_mwe	2	camping bus	camper.n.02|wordnet_noun	trusted_visual_object_label
can opener	can_opener	high	lvis_object|openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	4		can_opener.n.01|opener.n.01|wordnet_noun	trusted_visual_object_label
can openers	can_opener	high	lvis_object|openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	4	can opener	can_opener.n.01|opener.n.01|wordnet_noun	trusted_visual_object_label
canadian bacon	canadian_bacon	high	visual_genome_object_synset|wordnet_noun_mwe	2		bacon.n.01|wordnet_noun	vg_object_synset_plus_wordnet
canadian bacons	canadian_bacon	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	canadian bacon	bacon.n.01|wordnet_noun	vg_object_synset_plus_wordnet
canadian geese	canadian_goose	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	canadian goose	goose.n.01|wordnet_noun	vg_object_synset_plus_wordnet
canadian geeses	canadian_goose	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	canadian geese	goose.n.01|wordnet_noun	vg_object_synset_plus_wordnet
canadian goose	canadian_goose	high	visual_genome_object_synset|wordnet_noun_mwe	2		goose.n.01|wordnet_noun	vg_object_synset_plus_wordnet
candle holder	candle_holder	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		candlestick.n.01|wordnet_noun	trusted_visual_object_label
candle holders	candle_holder	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	candle holder	candlestick.n.01|wordnet_noun	trusted_visual_object_label
candy apple	candy_apple	high	visual_genome_object_synset|wordnet_noun_mwe	2		candied_apple.n.01|wordnet_noun	vg_object_synset_plus_wordnet
candy apples	candy_apple	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	candy apple	candied_apple.n.01|wordnet_noun	vg_object_synset_plus_wordnet
candy bar	candy_bar	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		candy_bar.n.01|wordnet_noun	trusted_visual_object_label
candy bars	candy_bar	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	candy bar	candy_bar.n.01|wordnet_noun	trusted_visual_object_label
candy cane	candy_cane	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		candy_cane.n.01|wordnet_noun	trusted_visual_object_label
candy canes	candy_cane	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	candy cane	candy_cane.n.01|wordnet_noun	trusted_visual_object_label
canned food	canned_food	high	visual_genome_object_synset|wordnet_noun_mwe	2		food.n.01|wordnet_noun	vg_object_synset_plus_wordnet
canned foods	canned_food	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	canned food	food.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cap (container lid)	cap_container_lid	high	lvis_object	1		cap.n.02	trusted_visual_object_label
cap (headwear)	cap_headwear	high	lvis_object	1		cap.n.01	trusted_visual_object_label
cap container lids	cap_container_lid	high	lvis_object|plural_variant	1	cap (container lid)	cap.n.02	trusted_visual_object_label
cap headwears	cap_headwear	high	lvis_object|plural_variant	1	cap (headwear)	cap.n.01	trusted_visual_object_label
capitol hill	capitol_hill	high	visual_genome_object_synset|wordnet_noun_mwe	2		capitol_hill.n.01|wordnet_noun	vg_object_synset_plus_wordnet
capitol hills	capitol_hill	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	capitol hill	capitol_hill.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car (automobile)	car_automobile	high	lvis_object	1		car.n.01	trusted_visual_object_label
car automobiles	car_automobile	high	lvis_object|plural_variant	1	car (automobile)	car.n.01	trusted_visual_object_label
car batteries	car_battery	high	lvis_object|plural_variant|wordnet_noun_mwe	2	car battery	car_battery.n.01|wordnet_noun	trusted_visual_object_label
car battery	car_battery	high	lvis_object|wordnet_noun_mwe	2		car_battery.n.01|wordnet_noun	trusted_visual_object_label
car door	car_door	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car doors	car_door	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car door	car_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car seat	car_seat	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_seat.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car seats	car_seat	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car seat	car_seat.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car tire	car_tire	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_tire.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car tires	car_tire	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car tire	car_tire.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car train	car_train	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_train.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car trains	car_train	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car train	car_train.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car wheel	car_wheel	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_wheel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car wheels	car_wheel	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car wheel	car_wheel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car window	car_window	high	visual_genome_object_synset|wordnet_noun_mwe	2		car_window.n.01|wordnet_noun	vg_object_synset_plus_wordnet
car windows	car_window	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	car window	car_window.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo container	cargo_container	high	visual_genome_object_synset|wordnet_noun_mwe	2		cargo_container.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo containers	cargo_container	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cargo container	cargo_container.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo door	cargo_door	high	visual_genome_object_synset|wordnet_noun_mwe	2		cargo_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo doors	cargo_door	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cargo door	cargo_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo hold	cargo_hold	high	visual_genome_object_synset|wordnet_noun_mwe	2		cargo_area.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo holds	cargo_hold	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cargo hold	cargo_area.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cargo ship	cargo_ship	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		cargo_ship.n.01|wordnet_noun	trusted_visual_object_label
cargo ships	cargo_ship	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	cargo ship	cargo_ship.n.01|wordnet_noun	trusted_visual_object_label
cargo vessel	cargo_vessel	high	lvis_object|wordnet_noun_mwe	2		cargo_ship.n.01|wordnet_noun	trusted_visual_object_label
cargo vessels	cargo_vessel	high	lvis_object|plural_variant|wordnet_noun_mwe	2	cargo vessel	cargo_ship.n.01|wordnet_noun	trusted_visual_object_label
carpenter s saws	carpenter_s_saw	high	lvis_object|plural_variant|wordnet_noun_mwe	2	carpenter's saw	handsaw.n.01|wordnet_noun	trusted_visual_object_label
carpenter's saw	carpenter_s_saw	high	lvis_object|wordnet_noun_mwe	2		handsaw.n.01|wordnet_noun	trusted_visual_object_label
carpet slipper (footwear)	carpet_slipper_footwear	high	lvis_object	1		slipper.n.01	trusted_visual_object_label
carpet slipper footwears	carpet_slipper_footwear	high	lvis_object|plural_variant	1	carpet slipper (footwear)	slipper.n.01	trusted_visual_object_label
carrot juice	carrot_juice	high	visual_genome_object_synset|wordnet_noun_mwe	2		carrot_juice.n.01|wordnet_noun	vg_object_synset_plus_wordnet
carrot juices	carrot_juice	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	carrot juice	carrot_juice.n.01|wordnet_noun	vg_object_synset_plus_wordnet
carrot stick	carrot_stick	high	visual_genome_object_synset|wordnet_noun_mwe	2		carrot_stick.n.01|wordnet_noun	vg_object_synset_plus_wordnet
carrot sticks	carrot_stick	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	carrot stick	carrot.n.01|carrot_stick.n.01|wordnet_noun	vg_object_synset_plus_wordnet
carving knife	carving_knife	high	visual_genome_object_synset|wordnet_noun_mwe	2		knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
carving knifes	carving_knife	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	carving knife	knife.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cash machine	cash_machine	high	visual_genome_object_synset|wordnet_noun_mwe	2		cash_machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cash machines	cash_machine	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cash machine	cash_machine.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cash register	cash_register	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		cash_register.n.01|wordnet_noun	trusted_visual_object_label
cash registers	cash_register	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	cash register	cash_register.n.01|wordnet_noun	trusted_visual_object_label
cassette deck	cassette_deck	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
cassette decks	cassette_deck	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	cassette deck	wordnet_noun	trusted_visual_object_label
cassette player	cassette_player	high	visual_genome_object_synset|wordnet_noun_mwe	2		cassette_player.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cassette players	cassette_player	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cassette player	cassette_player.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cassette tape	cassette_tape	high	visual_genome_object_synset|wordnet_noun_mwe	2		cassette_tape.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cassette tapes	cassette_tape	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cassette tape	cassette_tape.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cat food	cat_food	high	visual_genome_object_synset|wordnet_noun_mwe	2		cat_food.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cat foods	cat_food	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cat food	cat_food.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cat furniture	cat_furniture	high	openimages_boxable	1			trusted_visual_object_label
cat furnitures	cat_furniture	high	openimages_boxable|plural_variant	1	cat furniture		trusted_visual_object_label
cat s feet	cat_s_foot	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cat's foot	foot.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cat's foot	cat_s_foot	high	visual_genome_object_synset|wordnet_noun_mwe	2		foot.n.01|wordnet_noun	vg_object_synset_plus_wordnet
catcher s masks	catcher_s_mask	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	catcher's mask	mask.n.01|wordnet_noun	vg_object_synset_plus_wordnet
catcher's mask	catcher_s_mask	high	visual_genome_object_synset|wordnet_noun_mwe	2		mask.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cattle guard	cattle_guard	high	visual_genome_object_synset|wordnet_noun_mwe	2		cattle.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cattle guards	cattle_guard	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cattle guard	cattle.n.01|cattle_guard.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cayenne (spice)	cayenne_spice	high	lvis_object	1		cayenne.n.02	trusted_visual_object_label
cayenne pepper (spice)	cayenne_pepper_spice	high	lvis_object	1		cayenne.n.02	trusted_visual_object_label
cayenne pepper spices	cayenne_pepper_spice	high	lvis_object|plural_variant	1	cayenne pepper (spice)	cayenne.n.02	trusted_visual_object_label
cayenne spices	cayenne_spice	high	lvis_object|plural_variant	1	cayenne (spice)	cayenne.n.02	trusted_visual_object_label
cd drive	cd_drive	high	visual_genome_object_synset|wordnet_noun_mwe	2		cd_drive.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cd drives	cd_drive	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cd drive	cd_drive.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cd player	cd_player	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		cd_player.n.01|wordnet_noun	trusted_visual_object_label
cd players	cd_player	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	cd player	cd_player.n.01|wordnet_noun	trusted_visual_object_label
ceiling fan	ceiling_fan	high	openimages_boxable	1			trusted_visual_object_label
ceiling fans	ceiling_fan	high	openimages_boxable|plural_variant	1	ceiling fan		trusted_visual_object_label
celery stick	celery_stick	high	visual_genome_object_synset|wordnet_noun_mwe	2		celery_stick.n.01|wordnet_noun	vg_object_synset_plus_wordnet
celery sticks	celery_stick	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	celery stick	celery_stick.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cell phone	cell_phone	high	coco_object	1			trusted_visual_object_label
cell phones	cell_phone	high	coco_object|plural_variant	1	cell phone		trusted_visual_object_label
cellular phone	cellular_phone	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		cellular_telephone.n.01|telephone.n.01|wordnet_noun	trusted_visual_object_label
cellular phones	cellular_phone	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	cellular phone	cellular_telephone.n.01|telephone.n.01|wordnet_noun	trusted_visual_object_label
cellular telephone	cellular_telephone	high	lvis_object|wordnet_noun_mwe	2		cellular_telephone.n.01|wordnet_noun	trusted_visual_object_label
cellular telephones	cellular_telephone	high	lvis_object|plural_variant|wordnet_noun_mwe	2	cellular telephone	cellular_telephone.n.01|wordnet_noun	trusted_visual_object_label
cereal box	cereal_box	high	visual_genome_object_synset|wordnet_noun_mwe	2		cereal_box.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cereal boxes	cereal_box	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cereal box	cereal_box.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chain armor	chain_armor	high	lvis_object|wordnet_noun_mwe	2		chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chain armors	chain_armor	high	lvis_object|plural_variant|wordnet_noun_mwe	2	chain armor	chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chain armour	chain_armour	high	lvis_object|wordnet_noun_mwe	2		chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chain armours	chain_armour	high	lvis_object|plural_variant|wordnet_noun_mwe	2	chain armour	chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chain mail	chain_mail	high	lvis_object|wordnet_noun_mwe	2		chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chain mails	chain_mail	high	lvis_object|plural_variant|wordnet_noun_mwe	2	chain mail	chain_mail.n.01|wordnet_noun	trusted_visual_object_label
chainlink fence	chainlink_fence	high	visual_genome_object_synset|wordnet_noun_mwe	2		fence.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chainlink fences	chainlink_fence	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chainlink fence	fence.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chair lift	chair_lift	high	visual_genome_object_synset|wordnet_noun_mwe	2		chairlift.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chair lifts	chair_lift	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chair lift	chairlift.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chaise longue	chaise_longue	high	lvis_object|wordnet_noun_mwe	2		chaise_longue.n.01|wordnet_noun	trusted_visual_object_label
chaise longues	chaise_longue	high	lvis_object|plural_variant|wordnet_noun_mwe	2	chaise longue	chaise_longue.n.01|wordnet_noun	trusted_visual_object_label
chalk line	chalk_line	high	visual_genome_object_synset|wordnet_noun_mwe	2		chalk_line.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chalk lines	chalk_line	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chalk line	chalk_line.n.01|wordnet_noun	vg_object_synset_plus_wordnet
champagne flute	champagne_flute	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		flute.n.02|wordnet_noun	trusted_visual_object_label
champagne flutes	champagne_flute	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	champagne flute	flute.n.02|wordnet_noun	trusted_visual_object_label
checker board	checker_board	high	visual_genome_object_synset|wordnet_noun_mwe	2		checkerboard.n.01|wordnet_noun	vg_object_synset_plus_wordnet
checker boards	checker_board	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	checker board	checkerboard.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheddar cheese	cheddar_cheese	high	visual_genome_object_synset|wordnet_noun_mwe	2		cheddar.n.02|wordnet_noun	vg_object_synset_plus_wordnet
cheddar cheeses	cheddar_cheese	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cheddar cheese	cheddar.n.02|wordnet_noun	vg_object_synset_plus_wordnet
cheese cutter	cheese_cutter	high	visual_genome_object_synset|wordnet_noun_mwe	2		cheese_cutter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheese cutters	cheese_cutter	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cheese cutter	cheese_cutter.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheese pizza	cheese_pizza	high	visual_genome_object_synset|wordnet_noun_mwe	2		cheese_pizza.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheese pizzas	cheese_pizza	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cheese pizza	cheese_pizza.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheese sauce	cheese_sauce	high	visual_genome_object_synset|wordnet_noun_mwe	2		cheese_sauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cheese sauces	cheese_sauce	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cheese sauce	cheese_sauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cherry tomato	cherry_tomato	high	visual_genome_object_synset|wordnet_noun_mwe	2		cherry_tomato.n.01|wordnet_noun	vg_object_synset_plus_wordnet
cherry tomatos	cherry_tomato	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	cherry tomato	cherry_tomato.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chest protector	chest_protector	high	visual_genome_object_synset|wordnet_noun_mwe	2		chest_protector.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chest protectors	chest_protector	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chest protector	chest_protector.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chewing gum	chewing_gum	high	visual_genome_object_synset|wordnet_noun_mwe	2		chewing_gum.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chewing gums	chewing_gum	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chewing gum	chewing_gum.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chicken (animal)	chicken_animal	high	lvis_object	1		chicken.n.02	trusted_visual_object_label
chicken animals	chicken_animal	high	lvis_object|plural_variant	1	chicken (animal)	chicken.n.02	trusted_visual_object_label
chicken coop	chicken_coop	high	visual_genome_object_synset|wordnet_noun_mwe	2		chicken_coop.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chicken coops	chicken_coop	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	chicken coop	chicken_coop.n.01|wordnet_noun	vg_object_synset_plus_wordnet
chicken leg	chicken_leg	high	visual_genome_object_synset|wordnet_noun_mwe	2		chicken_leg.n.01|wordnet_noun	vg_object_synset_plus_wordnet
