term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
dimgrey	dimgrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
dirndl (skirt)	dirndl (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
dirt	dirt	condition_attribute|material_attribute	material_attribute	ovad|vaw	cleanliness|material	cleanliness|material	high	2	2	modifier_attributes_clean
dirty	dirty	condition_attribute	condition_attribute	coco_attributes|ovad|vaw	cleanliness|object_attribute	clean_exact_overlap|cleanliness	high	3	3	coco_high_typed|modifier_attributes_clean
disgust	disgust	expression_attribute	expression_attribute	ovad	face expression	face expression	high	1	1	modifier_attributes_clean
disordered	disordered	order_attribute	order_attribute	ovad	order	order	high	1	1	modifier_attributes_clean
disorganized	disorganized	order_attribute	order_attribute	ovad	order	order	high	1	1	modifier_attributes_clean
distressed	distressed	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
dodgerblue	dodgerblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
dolman (sleeve), batwing (sleeve)	dolman (sleeve), batwing (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
domed	domed	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
domestic	domestic	context_attribute	context_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
dot	dot	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
dotted	dotted	pattern_attribute|texture_attribute	pattern_attribute	dtd|ovad|paco|vaw	clothes pattern|pattern|pattern marking|texture	pattern|pattern marking|texture	high	4	5	modifier_attributes_clean
double breasted	double breasted	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
dress (coat )	dress (coat )	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
drinking	drinking	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
driving	driving	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
dropped shoulder sleeve	dropped shoulder sleeve	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
dropped waistline	dropped waistline	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
dry	dry	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
duffle (coat)	duffle (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
duster (coat)	duster (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
dusty	dusty	condition_attribute	condition_attribute	vaw	cleanliness	cleanliness	high	1	1	modifier_attributes_clean
eating	eating	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
elbow length	elbow length	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
elderly	elderly	age_attribute	age_attribute	vaw	maturity	maturity	high	1	1	modifier_attributes_clean
electric / electrical	electric / electrical	functional_attribute|technology_attribute	functional_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
embossed	embossed	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
empire waistline	empire waistline	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
empty	empty	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
exercising	exercising	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
expensive	expensive	value_attribute	value_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
fabric	fabric	material_attribute	material_attribute	ovad|paco|vaw	material	material	high	3	3	modifier_attributes_clean
fair isle	fair isle	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
family friendly	family friendly	context_attribute|safety_attribute|social_attribute	context_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
far away	far away	spatial_attribute	spatial_attribute	vaw	closeness	closeness	high	1	1	modifier_attributes_clean
fast	fast	speed_attribute	speed_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
fat	fat	size_attribute	size_attribute	vaw	fatness|size	fatness|size	high	1	2	modifier_attributes_clean
fear	fear	expression_attribute	expression_attribute	ovad	face expression	face expression	high	1	1	modifier_attributes_clean
feather	feather	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
feeding	feeding	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
female	female	gender_attribute	gender_attribute	coco_attributes|ovad|vaw	gender|object_attribute	clean_exact_overlap|gender	high	3	3	coco_high_typed|modifier_attributes_clean
fibrous	fibrous	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
firebrick	firebrick	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
fishing	fishing	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
fit and flare	fit and flare	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
flamenco (skirt)	flamenco (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
flap (pocket)	flap (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
flare	flare	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
flat	flat	shape_attribute	shape_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
flecked	flecked	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
floating	floating	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
floor (length)	floor (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
floral	floral	pattern_attribute	pattern_attribute	fashionpedia|ovad|paco|vaw	clothes pattern|pattern|pattern marking|textile pattern	pattern|pattern marking|textile pattern	high	4	5	modifier_attributes_clean
floralwhite	floralwhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
fluffy	fluffy	material_attribute|texture_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute|texture	clean_exact_overlap|material|texture	high	3	3	coco_high_typed|modifier_attributes_clean
fly (opening)	fly (opening)	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
flying	flying	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
foamy	foamy	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
foggy	foggy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
folded	folded	state_attribute	state_attribute	ovad|vaw	state	state	high	2	2	modifier_attributes_clean
following	following	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
forestgreen	forestgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
frayed	frayed	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
freckled	freckled	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
fresh	fresh	food_state_attribute	food_state_attribute	coco_attributes|ovad|vaw	cooked|object_attribute|other	clean_exact_overlap|cooked|other	high	3	3	coco_high_typed|modifier_attributes_clean
frilly	frilly	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
frowning	frowning	expression_attribute	expression_attribute	ovad|vaw	face expression	face expression	high	2	2	modifier_attributes_clean
fuchsia	fuchsia	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
full	full	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
fur	fur	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
furry	furry	material_attribute|texture_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute|texture	clean_exact_overlap|material|texture	high	3	3	coco_high_typed|modifier_attributes_clean
fuzzy	fuzzy	texture_attribute	texture_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
gainsboro	gainsboro	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
gathering	gathering	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
gauzy	gauzy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
gem	gem	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
geometric	geometric	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
ghostwhite	ghostwhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
giant	giant	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
giraffe	giraffe	motif_attribute	motif_attribute	fashionpedia	animal	animal	medium	1	1	modifier_attributes_clean
girl	girl	gender_attribute	gender_attribute	ovad	gender	gender	high	1	1	modifier_attributes_clean
glass	glass	material_attribute	material_attribute	ovad|paco|vaw	material	material	high	3	3	modifier_attributes_clean
godet (skirt)	godet (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
gold	gold	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
golden	golden	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
golden brown	golden brown	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
goldenrod	goldenrod	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
gown	gown	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
granite	granite	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
gravel	gravel	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
gray	gray	color_attribute	color_attribute	css_color_4|ovad|vaw	clothes color|color|hair color	color	high	3	5	modifier_attributes_clean
grazing	grazing	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
green	green	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
green tinted	green tinted	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
greenyellow	greenyellow	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
grey	grey	color_attribute	color_attribute	css_color_4|paco	color	color	high	2	2	modifier_attributes_clean
grid	grid	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
grinning	grinning	expression_attribute	expression_attribute	ovad|vaw	face expression	face expression	high	2	2	modifier_attributes_clean
grooved	grooved	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
group	group	group_attribute	group_attribute	ovad	group	group	high	1	1	modifier_attributes_clean
guy	guy	gender_attribute	gender_attribute	ovad	gender	gender	high	1	1	modifier_attributes_clean
gypsy (skirt)	gypsy (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
hairy	hairy	texture_attribute	texture_attribute	coco_attributes|ovad|vaw	object_attribute|other|texture	clean_exact_overlap|other|texture	high	3	3	coco_high_typed|modifier_attributes_clean
halter (dress)	halter (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
halter (neck)	halter (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
halter (top)	halter (top)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
hanging	hanging	pose_attribute|state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
happy	happy	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
hard	hard	texture_attribute	texture_attribute	coco_attributes|vaw	hardness|object_attribute	clean_exact_overlap|hardness	high	2	2	coco_high_typed|modifier_attributes_clean
hardwood	hardwood	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
harem (pants)	harem (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
hazy	hazy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
heart shaped	heart shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
heavy	heavy	weight_attribute	weight_attribute	coco_attributes|vaw	object_attribute|weight	clean_exact_overlap|weight	high	2	2	coco_high_typed|modifier_attributes_clean
henley (shirt)	henley (shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
herringbone (pattern)	herringbone (pattern)	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
hiding	hiding	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
high	high	size_attribute	size_attribute	vaw	height	height	high	1	1	modifier_attributes_clean
high (neck)	high (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
high low	high low	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
high waist	high waist	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
hiking	hiking	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
hip (length)	hip (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
hip huggers (pants)	hip huggers (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
hobble (skirt)	hobble (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
holding	holding	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
honeycombed	honeycombed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
honeydew	honeydew	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
hoodie	hoodie	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
horizontal	horizontal	orientation_attribute|spatial_attribute	orientation_attribute	coco_attributes|ovad|vaw	object_attribute|orientation|position	clean_exact_overlap|orientation|position	high	3	3	coco_high_typed|modifier_attributes_clean
hotpink	hotpink	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
houndstooth (pattern)	houndstooth (pattern)	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
huge	huge	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
hugging	hugging	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
hunting	hunting	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
illusion (neck)	illusion (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
in the air	in the air	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
in the background	in the background	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
in water	in water	context_attribute	context_attribute	vaw	place	place	high	1	1	modifier_attributes_clean
indianred	indianred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
indigo	indigo	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
individual	individual	group_attribute	group_attribute	ovad	group	group	high	1	1	modifier_attributes_clean
indoors	indoors	context_attribute	context_attribute	vaw	location	location	high	1	1	modifier_attributes_clean
interlaced	interlaced	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
iron	iron	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
ivory	ivory	color_attribute|material_attribute	color_attribute	css_color_4|fashionpedia|vaw	color|non textile material type	color|non textile material type	high	3	3	modifier_attributes_clean
jabot (collar)	jabot (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
jagged	jagged	texture_attribute	texture_attribute	vaw	texture	texture	high	1	1	modifier_attributes_clean
jean	jean	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
jeans	jeans	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
jodhpur	jodhpur	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
joyful	joyful	expression_attribute	expression_attribute	coco_attributes|ovad	face expression|object_attribute	clean_exact_overlap|face expression	high	2	2	coco_high_typed|modifier_attributes_clean
jumper (dress)	jumper (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
jumping	jumping	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
kaftan	kaftan	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
kangaroo (pocket)	kangaroo (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
keyhole (neck)	keyhole (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
khaki	khaki	color_attribute|material_attribute	color_attribute	css_color_4|vaw	color|material	color|material	high	2	2	modifier_attributes_clean
kilt	kilt	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
kimono	kimono	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
kimono (sleeve)	kimono (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
kissing	kissing	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
knee (length)	knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
kneeling	kneeling	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
knitted	knitted	texture_attribute	texture_attribute	dtd|vaw	other|texture	other|texture	high	2	2	modifier_attributes_clean
lace up	lace up	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
lacelike	lacelike	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
landing	landing	activity_attribute|state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
large	large	size_attribute	size_attribute	coco_attributes|ovad|vaw	object_attribute|size	clean_exact_overlap|size	high	3	3	coco_high_typed|modifier_attributes_clean
larger	larger	size_attribute	size_attribute	vaw	size comparison	size comparison	high	1	1	modifier_attributes_clean
laughing	laughing	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
lavender	lavender	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lavenderblush	lavenderblush	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lawngreen	lawngreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
laying	laying	pose_attribute	pose_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
leaning	leaning	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
leaning back	leaning back	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
leaping	leaping	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
learning	learning	activity_attribute|mental_state_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
leashed	leashed	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
leather	leather	material_attribute	material_attribute	coco_attributes|ovad|paco|vaw	material|object_attribute	clean_exact_overlap|material	high	4	4	coco_high_typed|modifier_attributes_clean
leg of mutton (sleeve)	leg of mutton (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
leggings	leggings	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
lemonchiffon	lemonchiffon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
leopard	leopard	motif_attribute	motif_attribute	fashionpedia	animal	animal	medium	1	1	modifier_attributes_clean
lettered	lettered	pattern_attribute	pattern_attribute	ovad	clothes pattern|pattern	pattern	high	1	2	modifier_attributes_clean
letters, numbers	letters, numbers	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
light	light	tone_attribute|weight_attribute	tone_attribute	ovad|vaw	hair tone|tone|weight	tone|weight	high	2	4	modifier_attributes_clean
light blue	light blue	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light brown	light brown	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light colored	light colored	tone_attribute	tone_attribute	vaw	tone	tone	high	1	1	modifier_attributes_clean
light gray	light gray	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
light green	light green	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light grey	light grey	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light orange	light orange	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light pink	light pink	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light purple	light purple	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light red	light red	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light skinned	light skinned	color_attribute	color_attribute	vaw	skin color	skin color	high	1	1	modifier_attributes_clean
light yellow	light yellow	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
lightblue	lightblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightcoral	lightcoral	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightcyan	lightcyan	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightgoldenrodyellow	lightgoldenrodyellow	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightgray	lightgray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightgreen	lightgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightgrey	lightgrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightpink	lightpink	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightsalmon	lightsalmon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightseagreen	lightseagreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightskyblue	lightskyblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightslategray	lightslategray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightslategrey	lightslategrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightsteelblue	lightsteelblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lightyellow	lightyellow	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lime	lime	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lime green	lime green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
limegreen	limegreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lined	lined	pattern_attribute|texture_attribute	pattern_attribute	dtd|ovad|vaw	clothes pattern|pattern|texture	pattern|texture	high	3	4	modifier_attributes_clean
linen	linen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lining	lining	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
listening	listening	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
little	little	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
logo	logo	pattern_attribute	pattern_attribute	paco	pattern marking	pattern marking	high	1	1	modifier_attributes_clean
long	long	size_attribute	size_attribute	coco_attributes|ovad|vaw	hair length|length|object_attribute	clean_exact_overlap|length	high	3	4	coco_high_typed|modifier_attributes_clean
looking at camera	looking at camera	pose_attribute	pose_attribute	vaw	face pose	face pose	high	1	1	modifier_attributes_clean
looking down	looking down	pose_attribute	pose_attribute	vaw	face pose	face pose	high	1	1	modifier_attributes_clean
looking up	looking up	pose_attribute	pose_attribute	vaw	face pose	face pose	high	1	1	modifier_attributes_clean
loose (fit)	loose (fit)	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
lounge (shorts)	lounge (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
low	low	size_attribute	size_attribute	vaw	height	height	high	1	1	modifier_attributes_clean
