term	canonical	role	source	source_type	parent_type	confidence	raw_name	source_url
darkviolet	darkviolet	color_attribute	css_color_4	color	color	high	darkviolet	https://www.w3.org/TR/css-color-4/
daytime	daytime	attribute	vaw	other	other	low	daytime	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dead	dead	attribute	vaw	other	other	low	dead	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
decorative	decorative	attribute	vaw	other	other	low	decorative	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
deep	deep	size_attribute	vaw	depth	depth	high	deep	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
deeppink	deeppink	color_attribute	css_color_4	color	color	high	deeppink	https://www.w3.org/TR/css-color-4/
deepskyblue	deepskyblue	color_attribute	css_color_4	color	color	high	deepskyblue	https://www.w3.org/TR/css-color-4/
denim	denim	material_attribute	ovad	material	material	high	material:textile/cloth/fabric/denim/cotton/jean/silk/plush	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
denim	denim	material_attribute	vaw	material	material	high	denim	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dense	dense	attribute	vaw	other	other	low	dense	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
diamond shaped	diamond shaped	shape_attribute	vaw	shape	shape	high	diamond shaped	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
digital	digital	attribute	vaw	other	other	low	digital	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dilapidated	dilapidated	state_attribute	ovad	state	state	high	state:dilapidated/ruined/broken	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dilapidated	dilapidated	state_attribute	vaw	state	state	high	dilapidated	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dimgray	dimgray	color_attribute	css_color_4	color	color	high	dimgray	https://www.w3.org/TR/css-color-4/
dimgrey	dimgrey	color_attribute	css_color_4	color	color	high	dimgrey	https://www.w3.org/TR/css-color-4/
directional	directional	attribute	vaw	other	other	low	directional	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dirndl (skirt)	dirndl (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	dirndl (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dirt	dirt	condition_attribute	ovad	cleanliness	cleanliness	high	cleanliness:unclean/dirt/dirty/muddy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dirt	dirt	material_attribute	vaw	material	material	high	dirt	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dirty	dirty	condition_attribute	ovad	cleanliness	cleanliness	high	cleanliness:unclean/dirt/dirty/muddy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dirty	dirty	condition_attribute	vaw	cleanliness	cleanliness	high	dirty	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
disgust	disgust	expression_attribute	ovad	face expression	face expression	high	face expression:disgust/frowning	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
disordered	disordered	order_attribute	ovad	order	order	high	order:messy/disordered/unordered/disorganized/unorganized/cluttered/untidy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
disorganized	disorganized	order_attribute	ovad	order	order	high	order:messy/disordered/unordered/disorganized/unorganized/cluttered/untidy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
displayed	displayed	attribute	vaw	other	other	low	displayed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
disposable	disposable	attribute	vaw	other	other	low	disposable	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
distressed	distressed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	distressed	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
docked	docked	attribute	vaw	other	other	low	docked	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dodgerblue	dodgerblue	color_attribute	css_color_4	color	color	high	dodgerblue	https://www.w3.org/TR/css-color-4/
dolman (sleeve), batwing (sleeve)	dolman (sleeve), batwing (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	dolman (sleeve), batwing (sleeve)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
domed	domed	shape_attribute	vaw	shape	shape	high	domed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
doorless	doorless	attribute	vaw	other	other	low	doorless	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dot	dot	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	dot	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dotted	dotted	texture_attribute	dtd	texture	texture	high	dotted	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
dotted	dotted	pattern_attribute	ovad	clothes pattern	pattern	high	clothes pattern:dotted/speckled/spotted	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dotted	dotted	pattern_attribute	ovad	pattern	pattern	high	pattern:dotted/speckled/spotted	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dotted	dotted	pattern_attribute	paco	pattern marking	pattern marking	high	dotted	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
dotted	dotted	pattern_attribute	vaw	pattern	pattern	high	dotted	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
double breasted	double breasted	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	double breasted	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
doubledecker	doubledecker	attribute	vaw	other	other	low	doubledecker	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dress (coat )	dress (coat )	fashion_style_attribute	fashionpedia	nickname	nickname	medium	dress (coat )	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dressed formally	dressed formally	attribute	vaw	other	other	low	dressed formally	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dressed warmly	dressed warmly	attribute	vaw	other	other	low	dressed warmly	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dried	dried	attribute	vaw	other	other	low	dried	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
drinking	drinking	activity_attribute	vaw	activity	activity	high	drinking	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
driving	driving	activity_attribute	vaw	activity	activity	high	driving	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
dropped shoulder sleeve	dropped shoulder sleeve	fashion_style_attribute	fashionpedia	nickname	nickname	medium	dropped-shoulder sleeve	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dropped waistline	dropped waistline	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	dropped waistline	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dry	dry	state_attribute	ovad	state	state	high	state:dry	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
dry	dry	state_attribute	vaw	state	state	high	dry	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
duffle (coat)	duffle (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	duffle (coat)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
duster (coat)	duster (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	duster (coat)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
dusty	dusty	condition_attribute	vaw	cleanliness	cleanliness	high	dusty	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
eating	eating	activity_attribute	vaw	activity	activity	high	eating	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
elbow length	elbow length	size_attribute	fashionpedia	length	length	medium	elbow-length	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
elderly	elderly	age_attribute	vaw	maturity	maturity	high	elderly	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
electronic	electronic	attribute	vaw	other	other	low	electronic	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
embossed	embossed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	embossed	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
empire waistline	empire waistline	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	empire waistline	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
empty	empty	state_attribute	ovad	state	state	high	state:empty	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
empty	empty	state_attribute	vaw	state	state	high	empty	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
enjoying	enjoying	attribute	vaw	other	other	low	enjoying	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
excited	excited	attribute	vaw	other	other	low	excited	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
extended	extended	attribute	vaw	other	other	low	extended	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fabric	fabric	material_attribute	ovad	material	material	high	material:textile/cloth/fabric/denim/cotton/jean/silk/plush	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
fabric	fabric	material_attribute	paco	material	material	high	fabric	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
fabric	fabric	material_attribute	vaw	material	material	high	fabric	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
faded	faded	attribute	vaw	other	other	low	faded	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fading	fading	attribute	vaw	other	other	low	fading	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fair isle	fair isle	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	fair isle	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
fallen	fallen	attribute	vaw	other	other	low	fallen	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
falling	falling	attribute	vaw	other	other	low	falling	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fancy	fancy	attribute	vaw	other	other	low	fancy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
far away	far away	spatial_attribute	vaw	closeness	closeness	high	far away	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fat	fat	size_attribute	vaw	fatness	fatness	high	fat	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fat	fat	size_attribute	vaw	size	size	high	fat	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fear	fear	expression_attribute	ovad	face expression	face expression	high	face expression:fear/surprise	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
feather	feather	material_attribute	fashionpedia	non textile material type	non textile material type	medium	feather	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
female	female	gender_attribute	ovad	gender	gender	high	gender:female/woman/girl	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
female	female	gender_attribute	vaw	gender	gender	high	female	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fibrous	fibrous	texture_attribute	dtd	texture	texture	high	fibrous	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
filled	filled	attribute	vaw	other	other	low	filled	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
filthy	filthy	attribute	vaw	other	other	low	filthy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
firebrick	firebrick	color_attribute	css_color_4	color	color	high	firebrick	https://www.w3.org/TR/css-color-4/
fit and flare	fit and flare	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	fit and flare	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
flamenco (skirt)	flamenco (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	flamenco (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
flap (pocket)	flap (pocket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	flap (pocket)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
flare	flare	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	flare	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
flat	flat	attribute	vaw	other	other	low	flat	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
flat screen	flat screen	attribute	vaw	other	other	low	flat screen	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
flattened	flattened	attribute	vaw	other	other	low	flattened	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
flecked	flecked	texture_attribute	dtd	texture	texture	high	flecked	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
fleece	fleece	attribute	vaw	other	other	low	fleece	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
floating	floating	attribute	vaw	other	other	low	floating	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
floor (length)	floor (length)	size_attribute	fashionpedia	length	length	medium	floor (length)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
floral	floral	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	floral	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
floral	floral	pattern_attribute	ovad	clothes pattern	pattern	high	clothes pattern:floral	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
floral	floral	pattern_attribute	ovad	pattern	pattern	high	pattern:floral	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
floral	floral	pattern_attribute	paco	pattern marking	pattern marking	high	floral	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
floral	floral	pattern_attribute	vaw	pattern	pattern	high	floral	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
floralwhite	floralwhite	color_attribute	css_color_4	color	color	high	floralwhite	https://www.w3.org/TR/css-color-4/
flowered	flowered	attribute	vaw	other	other	low	flowered	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fluffy	fluffy	texture_attribute	ovad	texture	texture	high	texture:soft/fluffy/furry/hairy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
fluffy	fluffy	material_attribute	vaw	material	material	high	fluffy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fly (opening)	fly (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	fly (opening)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
flying	flying	attribute	vaw	other	other	low	flying	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
foamy	foamy	material_attribute	vaw	material	material	high	foamy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
foggy	foggy	weather_attribute	vaw	weather	weather	high	foggy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
folded	folded	state_attribute	ovad	state	state	high	state:folded/bend	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
folded	folded	state_attribute	vaw	state	state	high	folded	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
for sale	for sale	attribute	vaw	other	other	low	for sale	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
forestgreen	forestgreen	color_attribute	css_color_4	color	color	high	forestgreen	https://www.w3.org/TR/css-color-4/
framed	framed	attribute	vaw	other	other	low	framed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
frayed	frayed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	frayed	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
freckled	freckled	texture_attribute	dtd	texture	texture	high	freckled	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
fresh	fresh	food_state_attribute	ovad	cooked	cooked	high	cooked:raw/fresh	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
fresh	fresh	attribute	vaw	other	other	low	fresh	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fried	fried	attribute	vaw	other	other	low	fried	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
frilly	frilly	texture_attribute	dtd	texture	texture	high	frilly	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
frizzy	frizzy	attribute	vaw	other	other	low	frizzy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
frosted	frosted	attribute	vaw	other	other	low	frosted	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
frowning	frowning	expression_attribute	ovad	face expression	face expression	high	face expression:disgust/frowning	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
frowning	frowning	expression_attribute	vaw	face expression	face expression	high	frowning	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
frozen	frozen	attribute	vaw	other	other	low	frozen	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fuchsia	fuchsia	color_attribute	css_color_4	color	color	high	fuchsia	https://www.w3.org/TR/css-color-4/
fuchsia	fuchsia	color_attribute	vaw	color	color	high	fuchsia	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
full	full	state_attribute	ovad	state	state	high	state:full/whole	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
full	full	state_attribute	vaw	state	state	high	full	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
funny	funny	attribute	vaw	other	other	low	funny	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fur	fur	material_attribute	fashionpedia	non textile material type	non textile material type	medium	fur	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
furry	furry	texture_attribute	ovad	texture	texture	high	texture:soft/fluffy/furry/hairy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
furry	furry	material_attribute	vaw	material	material	high	furry	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
fuzzy	fuzzy	attribute	vaw	other	other	low	fuzzy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gainsboro	gainsboro	color_attribute	css_color_4	color	color	high	gainsboro	https://www.w3.org/TR/css-color-4/
garbage	garbage	attribute	vaw	other	other	low	garbage	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gathering	gathering	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	gathering	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
gauzy	gauzy	texture_attribute	dtd	texture	texture	high	gauzy	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
gem	gem	material_attribute	fashionpedia	non textile material type	non textile material type	medium	gem	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
geometric	geometric	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	geometric	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
ghostwhite	ghostwhite	color_attribute	css_color_4	color	color	high	ghostwhite	https://www.w3.org/TR/css-color-4/
giant	giant	size_attribute	ovad	size	size	high	size:big/large/giant/huge	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
giant	giant	size_attribute	vaw	size	size	high	giant	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
giraffe	giraffe	motif_attribute	fashionpedia	animal	animal	medium	giraffe	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
girl	girl	gender_attribute	ovad	gender	gender	high	gender:female/woman/girl	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
glass	glass	material_attribute	ovad	material	material	high	material:glass	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
glass	glass	material_attribute	paco	material	material	high	glass	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
glass	glass	material_attribute	vaw	material	material	high	glass	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
glazed	glazed	attribute	vaw	other	other	low	glazed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gloomy	gloomy	attribute	vaw	other	other	low	gloomy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
glossy	glossy	attribute	vaw	other	other	low	glossy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gloved	gloved	attribute	vaw	other	other	low	gloved	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
glowing	glowing	attribute	vaw	other	other	low	glowing	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
godet (skirt)	godet (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	godet (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
gold	gold	color_attribute	css_color_4	color	color	high	gold	https://www.w3.org/TR/css-color-4/
gold framed	gold framed	attribute	vaw	other	other	low	gold framed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
golden	golden	color_attribute	vaw	color	color	high	golden	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
golden brown	golden brown	color_attribute	vaw	color	color	high	golden brown	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
goldenrod	goldenrod	color_attribute	css_color_4	color	color	high	goldenrod	https://www.w3.org/TR/css-color-4/
gown	gown	fashion_style_attribute	fashionpedia	nickname	nickname	medium	gown	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
graffitied	graffitied	attribute	vaw	other	other	low	graffitied	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
granite	granite	material_attribute	ovad	material	material	high	material:stone/granite/cobblestone/gravel/marble/pebbled/rocky/sandy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
granite	granite	material_attribute	vaw	material	material	high	granite	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
grassy	grassy	attribute	vaw	other	other	low	grassy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gravel	gravel	material_attribute	ovad	material	material	high	material:stone/granite/cobblestone/gravel/marble/pebbled/rocky/sandy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
gravel	gravel	material_attribute	vaw	material	material	high	gravel	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gray	gray	color_attribute	css_color_4	color	color	high	gray	https://www.w3.org/TR/css-color-4/
gray	gray	color_attribute	ovad	clothes color	color	high	clothes color:gray	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
gray	gray	color_attribute	ovad	color	color	high	color:gray	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
gray	gray	color_attribute	ovad	hair color	color	high	hair color:gray	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
gray	gray	color_attribute	vaw	color	color	high	gray	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
gray metal	gray metal	attribute	vaw	other	other	low	gray metal	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
grazing	grazing	activity_attribute	vaw	activity	activity	high	grazing	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
green	green	color_attribute	css_color_4	color	color	high	green	https://www.w3.org/TR/css-color-4/
green	green	color_attribute	ovad	clothes color	color	high	clothes color:green	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
green	green	color_attribute	ovad	color	color	high	color:green	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
green	green	color_attribute	ovad	hair color	color	high	hair color:green	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
green	green	color_attribute	paco	color	color	high	green	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
green	green	color_attribute	vaw	color	color	high	green	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
green tinted	green tinted	color_attribute	vaw	color	color	high	green tinted	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
greenyellow	greenyellow	color_attribute	css_color_4	color	color	high	greenyellow	https://www.w3.org/TR/css-color-4/
grey	grey	color_attribute	css_color_4	color	color	high	grey	https://www.w3.org/TR/css-color-4/
grey	grey	color_attribute	paco	color	color	high	grey	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
grid	grid	texture_attribute	dtd	texture	texture	high	grid	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
grilled	grilled	attribute	vaw	other	other	low	grilled	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
grinning	grinning	expression_attribute	ovad	face expression	face expression	high	face expression:happy/smiling/laughing/grinning/joyful	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
grinning	grinning	expression_attribute	vaw	face expression	face expression	high	grinning	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
grooved	grooved	texture_attribute	dtd	texture	texture	high	grooved	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
group	group	group_attribute	ovad	group	group	high	group:group/bunch/collection	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
guy	guy	gender_attribute	ovad	gender	gender	high	gender:male/man/guy/boy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
gypsy (skirt)	gypsy (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	gypsy (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
hairless	hairless	attribute	vaw	other	other	low	hairless	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
hairy	hairy	texture_attribute	ovad	texture	texture	high	texture:soft/fluffy/furry/hairy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
hairy	hairy	attribute	vaw	other	other	low	hairy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
half	half	attribute	vaw	other	other	low	half	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
