term	count	synsets	alias_group
on the side of a	14		on the side of
carried on	14	transport.v.02	carried on
truck	14	truck.v.01	
atop of	14	atop.r.01|be.v.01	atop of
under the	14	under.r.01	under
of water on	14	along.r.01	
is wearing a	14	be.v.01	wearing
in on a	14	along.r.01	in on
off in	14	away.r.01|be.v.01	off in
trimming	14	be.v.01|reduce.v.01	
are facing	14	be.v.01	facing
suspended over	14	be.v.01|over.r.01	
piled in	14	be.v.01|in.r.01	piled in
fastening	14	be.v.01|fasten.v.01	
view of	14	see.v.05	
on shoulder of	14	along.r.01|be.v.01	on shoulder of
outside on	14	along.r.01|be.v.01	outside on
providing shade for	14	be.v.01	
eyes are	14	be.v.01	eyes
bowl	14		
bird	14		
lights	14	light.v.01	lights
looking away from	14	look.v.02	
connected with	14	associate.v.01|be.v.01	connected with
edge	14	be.v.01|border.v.05	
resembles	14	resemble.v.01	resembles
cat	14	be.v.01|vomit.v.01	
happens to be	14	be.v.01	
concentrating on	14	along.r.01|be.v.01	
four	14	be.v.01	four
shades	14	shade.v.02	
seat	14	be.v.01|seat.v.01	
sliding down	14	be.v.01|down.r.01	
indicate	14	indicate.v.02	indicate
keeps	14	keep.v.01	
shining from	14	be.v.01|glitter.v.01	
thrown by	14	hold.v.03	
peeking over	14	glance.v.01	peeking over
flying close to	14	close.v.01	
preparing to throw	14	hold.v.03	preparing to throw
bending h	14	be.v.01|bend.v.01	
grinding	14	crunch.v.02	grinding
dripping off	14	away.r.01|be.v.01	
paddling on	14	along.r.01|be.v.01	paddling on
casting on	14	along.r.01	
placed onto	14	put.v.01	
of walking	14	walk.v.01	
installed to	14	install.v.01	
growing on top of	14	turn.v.07	growing on top of
surfing with	14	be.v.01	surfing with
behind of	14	be.v.01|behind.r.01	
producing	14	be.v.01|produce.v.02	producing
wears black	14	wear.v.01	
in right	14	properly.r.01	
focused on	14	along.r.01|be.v.01	
are inside a	14	be.v.01	inside
coming in to	14	arrive.v.01	
to left of a	14	be.v.01|leave.v.01	to left of
on leg of	14	along.r.01|be.v.01	on leg of
waves are	14	be.v.01	waves
sticking out h	14	be.v.01|stay.v.02	
to keep	14	be.v.01|keep.v.01	
ready to swing	14	fix.v.12	
nursing	14	harbor.v.01	
transports	14	transport.v.02	
pointing with	14	be.v.01|indicate.v.02	
look like	14	look.v.02	look like
pasted on	14	along.r.01	
playing in front of	14	play.v.01	
are carrying	14	be.v.01	carrying
printed on a	14	along.r.01|be.v.01	printed on
playing soccer on	14	be.v.01|play.v.01	playing soccer on
climbing a	14	be.v.01|climb.v.01	climbing
crash on	14	along.r.01	
burned	14	burn.v.01	
bent at	14	bend.v.01	bent at
telling time on	14	state.v.01	
has small	13	have.v.01	
are color	13	be.v.01	color
picture on	13	be.v.01|visualize.v.01	
hanging inside	13	hang.v.01	hanging inside
with a lot of	13	distribute.v.01	
neck	13	be.v.01	
digging	13	be.v.01|grok.v.01	digging
building has a	13	have.v.01	building has
chair	13	be.v.01|moderate.v.01	chair
on on	13	along.r.01	
on water	13	along.r.01	
in front of white	13	in.r.01	
parked between	13	be.v.01|park.v.01	
behind the	13		behind
draped across	13	across.r.01|be.v.01	draped across
reaching in	13	achieve.v.01|be.v.01	
on metal	13	along.r.01	
erected on	13	along.r.01|be.v.01	
lined up	13	up.r.01	lined up
forming a	13	form.v.01	forming
are beyond	13	be.v.01	beyond
with a few	13		
has a window	13		
to left	13	leave.v.01	to left
sitting on back of	13	sit.v.01	sitting on back of
open to	13	be.v.01|open.v.01	open to
step on a	13		step on
on small	13	along.r.01	
decorated	13	be.v.01|decorate.v.01	
smeared on	13	along.r.01|be.v.01	smeared on
are near a	13	be.v.01	near
in in	13	in.r.01	in in
standing on one	13	be.v.01|stand.v.01	
graze in	13	in.r.01	graze in
picture taken	13	be.v.01	
with gray	13		
shopping in	13	in.r.01	shopping in
leg of a	13		leg of
stack of	13	stack.v.02	
peeling	13	be.v.01|undress.v.01	peeling
section of	13		section of
wearing gray	13	wear.v.01	
of mans	13	man.v.01	
is on the	13	be.v.01	on
on man	13	along.r.01|be.v.01	on man
falling over	13	be.v.01|descend.v.01	falling over
riding by	13	depend_on.v.01	
in front of an	13	be.v.01|in.r.01	in front of
not wearing a	13	be.v.01|not.r.01	not wearing
sprays	13	spray.v.01	
growing over	13	turn.v.07	
holding up h	13	be.v.01|have.v.01	
in vase	13	be.v.01|in.r.01	
littering	13	litter.v.01	littering
playing near	13	about.r.07|be.v.01	playing near
white on	13	along.r.01|be.v.01	white on
waiting to get on	13	be.v.01|get_down.v.07	waiting to get on
peeking out of	13	glance.v.01	
with silver	13		
wearing pink	13	be.v.01|wear.v.01	
cheese	13	be.v.01	
leading from	13	lead.v.01	
safety	13		safety
stuck	13	stay.v.02	
handle	13	be.v.01|cover.v.05	
going for	13	be.v.01|become.v.01	going for
fixed in	13	be.v.01|fix.v.12	
name	13	be.v.01|name.v.01	
fighting over	13	be.v.01|contend.v.06|over.r.01	fighting over
fighting	13	be.v.01|contend.v.06	
hovering in	13	be.v.01|in.r.01	
walks along	13	walk.v.01	walks along
looking from	13	be.v.01|look.v.02	
anchored to	13	anchor.v.01	
points at	13	indicate.v.02	
overlapping	13	be.v.01|overlap.v.01	
pointed at	13	be.v.01|indicate.v.02	
horse	13		
capped	13	cap.v.01	
heading towards	13	be.v.01|head.v.02	
has pink	13	have.v.01	
girl	13	be.v.01	
skis down	13	down.r.01	skis down
spread over	13	be.v.01|spread.v.01	
hung in	13	hang.v.01	
playing frisbee with	13	play.v.01	
peaking through	13	through.r.01	
shining off	13	away.r.01|be.v.01	
by an	13	be.v.01|by.r.01	by
wave	13	be.v.01|beckon.v.01	wave
billowing from	13	billow.v.03	billowing from
are in middle of	13	be.v.01	in middle of
are beside of	13	be.v.01	beside of
performing in	13	be.v.01|perform.v.01	
toy	13	play.v.16	toy
are hanging	13	be.v.01	hanging
munching on	13	along.r.01|be.v.01	munching on
wiping	13	be.v.01|wipe.v.01	
sliding on	13	along.r.01	
skating	13		
post	13	be.v.01|mail.v.02	
hovering above	13	above.r.01	
built around	13	be.v.01|construct.v.01	
in open	13	open.v.01	
imprinted in	13	in.r.01	imprinted in
trailing	13	be.v.01|chase.v.01	trailing
atop a	13	atop.r.01|be.v.01	atop
being held up by	13	be.v.01	
framed in	13	be.v.01|frame.v.04	
running around	13	approximately.r.01	running around
drying	13	be.v.01|dry.v.02	
coming towards	13	arrive.v.01|be.v.01	
anchored at	13	anchor.v.01|be.v.01	
gliding on	13	along.r.01	
in players	13	in.r.01	
on red	13	along.r.01|be.v.01	
baking in	13	in.r.01	baking in
sticking from	13	stay.v.02	
flying in a	13	be.v.01|fly.v.01	flying in
walking up a	13	walk.v.01	walking up
close to a	13	be.v.01|close.v.01	close to
strung between	13	string.v.01	
of two	13	be.v.01	
balanced on	13	along.r.01|be.v.01	
skis on	13	along.r.01	
setting behind	13	be.v.01|put.v.01	
laid out on	13	put.v.01	laid out on
on lap of	13	along.r.01|be.v.01	
kicked up	13	up.r.01	
leaning out of	13	be.v.01|tend.v.01	
jutting into	13	be.v.01|stick_out.v.01	
with letter	13	letter.v.01	
standing below	13	be.v.01|stand.v.01	
dropping	13	be.v.01|spend.v.02	
happening	13	happen.v.01	
attending	13	attend.v.01|be.v.01	attending
held with	13	be.v.01|have.v.01	held with
reading in	13	read.v.01	
skiing on a	13	along.r.01|be.v.01	skiing on
brush	13	brush.v.04	
gliding through	13	through.r.01	
sealing	13	be.v.01|seal.v.01	
grow in	13	turn.v.07	grow in
reading on	13	be.v.01|read.v.01	reading on
indicated on	13	indicate.v.02	
hangs	12	hang.v.01	
are standing behind	12	be.v.01	standing behind
lining on	12	along.r.01|be.v.01	
with a white	12	whiten.v.01	
box	12	be.v.01|box.v.01	
walking through a	12	be.v.01|walk.v.01	walking through
hanging of	12	be.v.01|hang.v.01	
shoe	12	be.v.01	
keep	12	keep.v.01	
has a big	12	have.v.01	
running over	12	run.v.01	running over
tiled	12	be.v.01	
are in back of	12	be.v.01	in back of
uses a	12	use.v.01	uses
are leading to	12	be.v.01	leading to
driving along	12	along.r.01	
behind another	12	be.v.01|behind.r.01	
taped on	12	along.r.01	
extending into	12	run.v.03	
car with four	12		
right side of	12	be.v.01|properly.r.01	
are left of	12	be.v.01	left of
parking on	12	along.r.01|be.v.01	
sitting alongside	12	sit.v.01	
gathered around	12	approximately.r.01	gathered around
getting in	12	get_down.v.07	
shadow on	12	along.r.01|be.v.01	
mountain	12		
hanging underneath	12	hang.v.01	
runs across	12	run.v.01	runs across
wearing on	12	wear.v.01	
with large	12	boastfully.r.01	
revealing	12	unwrap.v.02	
tending	12	be.v.01|tend.v.01	
on a womans	12	along.r.01	
on street	12	along.r.01|be.v.01	
on tan	12	along.r.01	
square	12	square.v.01	
with orange	12		
hanging off a	12	away.r.01|be.v.01	hanging off
going under	12	become.v.01	
lit by	12	light.v.01	
growing at	12	turn.v.07	
heading to	12	be.v.01|head.v.02	
goes through	12	become.v.01	
leaning towards	12	be.v.01|tend.v.01	
sitting outside	12	be.v.01|sit.v.01	
on wooden	12	along.r.01	
glowing on	12	along.r.01|be.v.01	glowing on
in corner	12	in.r.01	
operating a	12	be.v.01|function.v.01	operating
man wearing a	12	be.v.01	man wearing
wearing a pink	12	be.v.01|wear.v.01	
worn with	12	wear.v.01	worn with
ion	12	be.v.01	
cabinet	12		
face in	12	confront.v.02	
arm	12	arm.v.01|be.v.01	
pot	12	pot.v.01	
ceramic	12		
identifying	12	identify.v.01	
running into	12	be.v.01|run.v.01	
flying behind	12	be.v.01|fly.v.01	
hanging onto	12	be.v.01|hang.v.01	hanging onto
spinning on	12	along.r.01|be.v.01	
wearing all	12	be.v.01|wholly.r.01	wearing all
moves	12	travel.v.01	
getting into	12	be.v.01|get_down.v.07	getting into
of train	12	be.v.01|train.v.01	
roof	12	be.v.01|roof.v.01	
are grazing on	12	be.v.01	grazing on
performing a	12	be.v.01|perform.v.01	performing
looking inside	12	be.v.01|look.v.02	
kneeling	12	kneel.v.01	
on green	12	along.r.01	on green
looking out at	12	be.v.01|look.v.02	
being cast on	12	be.v.01	being cast on
operates	12	function.v.01	
overcast	12	overcast.v.01	
scattered	12	disperse.v.02	
ground	12	be.v.01|establish.v.08	
projected on	12	visualize.v.01	projected on
pair of blue	12		
clipped to	12	trot.v.01	clipped to
to hit	12	reach.v.01	to hit
wet	12	be.v.01|wet.v.01	
are off	12	be.v.01	off
trunk	12	be.v.01	
od	12		od
has painted	12	have.v.01	
hangs off	12	away.r.01	
ears	12		ears
kite	12		kite
higher than	12	be.v.01	higher than
clinging to	12	cling.v.01	
letter	12	be.v.01|letter.v.01	
divided by	12	be.v.01|divide.v.01	
hangs above	12	hang.v.01	
stripe	12	be.v.01	
dirt	12		dirt
legs	12		legs
high on	12	along.r.01|be.v.01	high on
took	12	necessitate.v.01	
plane	12	be.v.01|plane.v.01	
likes	12	wish.v.02	
rolls	12	roll.v.12	
taken from	12	be.v.01|necessitate.v.01	
drying on	12	along.r.01	
made into	12	make.v.01	
wearing orange	12	be.v.01|wear.v.01	
goes down	12	become.v.01	
wedding	12	marry.v.01	
lay on	12	put.v.01	lay on
trying to fly	12	be.v.01|try.v.01	trying to fly
will eat	12	eat.v.01	
flushes	12	blush.v.01	
are with	12	be.v.01	with
leash	12		
served on a	12	along.r.01|be.v.01	served on
moving toward	12	be.v.01|travel.v.01	
bathing	12	bathe.v.01|be.v.01	bathing
are lining	12	be.v.01	lining
and h	12		
bath	12		
sliding to	12	skid.v.04	sliding to
owned by	12	be.v.01|own.v.01	
garbage	12		
are playing in	12	be.v.01	playing in
bottle	12		
on top of an	12	along.r.01	on top of
circle	12	circle.v.01	
sits beside	12	sit.v.01	
located behind	12	be.v.01|locate.v.01	located behind
trying to get	12	be.v.01|get_down.v.07	trying to get
on baseball	12	along.r.01	
in to	12	be.v.01|in.r.01	
in midst of	12	be.v.01|in.r.01	
flown by	12	be.v.01|fly.v.01	
runs through	12	run.v.01	runs through
turned to	12	be.v.01|become.v.02	
are stacked on	12	be.v.01	stacked on
pants are	12	be.v.01	pants
in bottom	12	in.r.01	
reach	12	achieve.v.01	
with their	12		with their
getting a	12	be.v.01|get_down.v.07	getting
not on	12	be.v.01|not.r.01	not on
helps	12	help.v.01	
flying across	12	fly.v.01	
leafy	12	be.v.01	
coming off of	12	arrive.v.01|be.v.01	coming off of
are at edge of	12	be.v.01	at edge of
surface of	12	come_on.v.01	
are grey and	12		grey and
skateboarding through	12	through.r.01	
thru	12	be.v.01	
says on	12	state.v.01	
in a row with	12	be.v.01|in.r.01	
holding hands with	12	be.v.01|have.v.01	
watching in	12	watch.v.01	watching in
printed on side of	12	along.r.01	
hanging out on	12	along.r.01|be.v.01	
feeding a	12	be.v.01|feed.v.01	feeding
slice of	12	slit.v.01	
people on	12	along.r.01	people on
sleeping under	12	sleep.v.01	
near an	12	about.r.07|be.v.01	near
screwed into	12	be.v.01|sleep_together.v.01	
coming up from	12	arrive.v.01|be.v.01	
illuminated by	12	be.v.01|light.v.01	
eating in a	12	be.v.01|eat.v.01	eating in
low to	12	be.v.01|low.r.01	low to
opposite of	12		opposite of
extending between	12	run.v.03	
lines on a	12		lines on
around washington	12		
leaning in	11	be.v.01|tend.v.01	leaning in
trimmed	11	be.v.01|reduce.v.01	
printed with	11	be.v.01|print.v.01	
setting in	11	be.v.01|put.v.01	
and green	11		
on one side of	11	along.r.01	
looks in	11	look.v.02	
desk	11	be.v.01	desk
parked outside of	11	outside.r.01	parked outside of
to open	11	open.v.01	
green tree	11		
are spread on	11	be.v.01	spread on
built under	11	construct.v.01	
are parked alongside of	11	be.v.01	parked alongside of
with one	11		
grip	11	grip.v.01	
roaming	11	be.v.01|roll.v.12	roaming
running between	11	run.v.01	
posted in	11	be.v.01|mail.v.02	posted in
on two story	11	along.r.01	
obstructed by	11	be.v.01|by.r.01	
on a piece of	11	along.r.01|be.v.01	
airplane	11		
scene	11	be.v.01	scene
rock	11	rock.v.01	
moored in	11	in.r.01	
around edge of	11	approximately.r.01|be.v.01	
hung above	11	be.v.01|hang.v.01	hung above
purple	11		purple
dancing on	11	along.r.01|be.v.01	
dining	11	dine.v.01	
covered with a	11	be.v.01|traverse.v.01	covered with
dangling	11	dangle.v.01	
sleeve	11		
attach	11	attach.v.01	
nt	11		nt
on one	11	along.r.01	
has several	11	have.v.01	
hang over	11	hang.v.01	
inked on	11	along.r.01	
with crossed	11	traverse.v.01	
drawing on	11	be.v.01|describe.v.01	
wears blue	11	wear.v.01	
packed in	11	carry.v.02	packed in
head of a	11	head.v.02	head of
around her	11	approximately.r.01	
runs	11	run.v.01	
ready to board	11	fix.v.12	
in left side of	11	be.v.01|leave.v.01	in left side of
bending over in	11	bend.v.01	
has silver	11	have.v.01	
clean and	11	be.v.01	
gathering	11	gather.v.01	
driving over	11	be.v.01|drive.v.01	
for an	11	be.v.01	for
made for	11	be.v.01|make.v.01	
added to	11	add.v.01	
wears a white	11	wear.v.01	
lit	11	be.v.01|light.v.01	lit
a white	11	be.v.01|whiten.v.01	white
handing from	11	pass.v.05	handing from
see	11	see.v.01	
wearing striped	11	be.v.01|wear.v.01	
lines on	11	along.r.01	lines on
talking into	11	be.v.01|talk.v.01	talking into
eyed	11	eye.v.01	
crossing h	11	be.v.01|traverse.v.01	
admiring	11	admire.v.01	admiring
on corner	11	along.r.01|be.v.01	
asleep on	11	along.r.01|be.v.01	
stuffed into	11	thrust.v.02	
are on side of a	11	be.v.01	on side of
hanging at	11	be.v.01|hang.v.01	
full with	11	be.v.01|fully.r.01	full with
cream	11	be.v.01|cream.v.02	cream
wrist	11		
on part of	11	along.r.01|be.v.01	on part of
point	11	indicate.v.02	
losing	11	be.v.01|lose.v.01	
nuzzling	11	be.v.01|cuddle.v.01	nuzzling
driving toward	11	be.v.01|drive.v.01	
ball	11	ball.v.01|be.v.01	
retrieving	11	be.v.01|remember.v.01	retrieving
kneeling by	11	be.v.01|by.r.01	
travels on	11	travel.v.01	
boat	11	be.v.01	boat
tapping	11	solicit.v.01	
kicked	11	complain.v.01	
makes a	11	make.v.01	makes
shaded by	11	by.r.01	
sun	11	be.v.01|sun.v.01	
swung by	11	be.v.01|swing.v.01	
almost	11	about.r.07|be.v.01	almost
faced	11	confront.v.02	
waving in	11	beckon.v.01	
portion of	11	assign.v.02	
of red	11		
has raised	11	have.v.01	
to support	11	digest.v.03	
has extended	11	have.v.01	
slice	11	slit.v.01	
frosted	11	frost.v.01	
almost touching	11	about.r.07	
mixed in with	11	be.v.01|in.r.01	mixed in with
learning	11	be.v.01|learn.v.02	
describing	11	report.v.01	
serving a	11	be.v.01|serve.v.01	serving
sit on a	11	sit.v.01	sit on
sitting around a	11	be.v.01|sit.v.01	sitting around
gesturing with	11	be.v.01|gesticulate.v.01	
beach	11		
protect	11	protect.v.01	
with blonde	11		
lifts	11	raise.v.02	lifts
of standing	11	stand.v.01	
has a front	11	have.v.01	
works on	11	work.v.01	works on
fell off	11	away.r.01	
drawing	11	describe.v.01	drawing
playing at	11	play.v.01	playing at
painted on side of	11	along.r.01	
on clock	11	along.r.01	on clock
cutting with	11	reduce.v.01	cutting with
helmet on	11	along.r.01	
on elephants	11	along.r.01|be.v.01	
displayed on a	11	along.r.01|be.v.01	displayed on
eyeing	11	be.v.01|eye.v.01	
signal	11	be.v.01|bespeak.v.01	
laid on	11	be.v.01|put.v.01	laid on
sitting by a	11	be.v.01|sit.v.01	sitting by
windsurfing on	11	along.r.01	
electric	11		
visitting	11	be.v.01	
talking by	11	be.v.01|talk.v.01	
riding h	11	be.v.01|depend_on.v.01	
to right of a	11	be.v.01|properly.r.01	to right of
coming down from	11	arrive.v.01	
hugging a	11	be.v.01|embrace.v.02	hugging
planted near	11	about.r.07	
growing out	11	be.v.01|turn.v.07	
with few	11		
are behind a	11	be.v.01	behind
taking photo of	11	be.v.01|necessitate.v.01	
on kitchen	11	along.r.01	
grabbing a	11	be.v.01|catch.v.04	grabbing
sitting next	11	sit.v.01	
same as	11	be.v.01|equally.r.01	
passing under	11	be.v.01|happen.v.01	passing under
white in	11	be.v.01|in.r.01	white in
played by	11	play.v.01	played by
are painted	11	be.v.01	painted
paddling in	11	be.v.01|in.r.01	
boarding a	11	board.v.01	boarding
paying on	11	be.v.01|pay.v.01	
walking during	11	walk.v.01	
doing a trick on a	11	be.v.01|make.v.01	doing a trick on
spread across	11	be.v.01|spread.v.01	
cooking on a	11	along.r.01|be.v.01	cooking on
cheese on	11	along.r.01	
plastered on	11	along.r.01	
against blue	11		
train on	11	along.r.01|be.v.01	
running in front of	11	be.v.01|run.v.01	
returning	11	be.v.01|return.v.01	returning
on side a	11	along.r.01	on side
cautioning	11	be.v.01	
outstretched	11		
preparing to cross	11	traverse.v.01	
sits behind	11	sit.v.01	
on door of	11	along.r.01	
emits	11	utter.v.02	
in back of a	11	back.r.01|be.v.01	in back of
sitting with a	11	be.v.01|sit.v.01	sitting with
trying to catch a	11	be.v.01|try.v.01	trying to catch
means	11	mean.v.01	
lined along	11	along.r.01	
rowing a	11	be.v.01|row.v.01	rowing
kitesurfing in	11	in.r.01	
floating behind	11	float.v.01	
traveling with	11	travel.v.01	
cemented on	11	along.r.01	
in crowd of	11	in.r.01	
ridden on	11	along.r.01	
emanating from	11	emanate.v.01	emanating from
sing	11	be.v.01	
lying over	11	lie.v.01	
arriving at	11	arrive.v.01	
posing around	11	put.v.01	
graze	11	crop.v.05	
are stepping on	11	be.v.01	stepping on
are crashing in	11	be.v.01	crashing in
in grass	11	be.v.01|in.r.01	
are out in	11	be.v.01	out in
man wearing white	11	wear.v.01	
bolted into	11	abscond.v.01	
are sitting in a	10	be.v.01	sitting in
has large	10	have.v.01	
of black	10	blacken.v.01	
looking a	10	be.v.01|look.v.02	looking
reading to	10	be.v.01|read.v.01	reading to
are o	10	be.v.01	o
burning in	10	be.v.01|in.r.01	burning in
containing a	10	be.v.01|incorporate.v.02	containing
are walking	10	be.v.01	walking
backed into	10	back.v.01	
growing inside	10	turn.v.07	
standing in back of	10	stand.v.01	standing in back of
holding in	10	have.v.01	
in pink	10	in.r.01	
has a small	10	have.v.01	
are to	10	be.v.01	to
hidden in	10	be.v.01|hide.v.01	hidden in
ordering	10	be.v.01|order.v.01	
parked on top of	10	along.r.01	
lit from	10	light.v.01	
near the	10	about.r.07	near
installed into	10	install.v.01	
coming from a	10	arrive.v.01|be.v.01	coming from
in right side of	10	properly.r.01	
headed toward	10	head.v.02	
at end of a	10	be.v.01|end.v.01	at end of
fallen off	10	away.r.01	
has grey	10	have.v.01	
lying across	10	be.v.01|lie.v.01	
crawling on	10	along.r.01|be.v.01	
drinking a	10	be.v.01|drink.v.01	drinking
interacting with	10	be.v.01|interact.v.01	
sticking up on	10	up.r.01	
tv	10		
bottle for holding	10		
floating on top of	10	along.r.01	
set of	10	put.v.01	set of
is in front of	10	be.v.01	in front of
engraved on	10	along.r.01	engraved on
coming toward	10	arrive.v.01|be.v.01	
baking	10	bake.v.01|be.v.01	
juggles	10	juggle.v.01	
playing frisbee on	10	play.v.01	
legs of	10		legs of
rounding	10	attack.v.02|be.v.01	
cooked	10	be.v.01|cook.v.02	
cast from	10	be.v.01|roll.v.12	
window pane on	10		
wine	10		
connected by	10	associate.v.01	
set up on	10	be.v.01|put.v.01	set up on
in surface of	10	come_on.v.01	
letter on a	10		letter on
jutting from	10	stick_out.v.01	
hung over	10	be.v.01|hang.v.01	
showing off	10	be.v.01|show.v.01	
for serving	10	serve.v.01	for serving
standing beneath	10	be.v.01|stand.v.01	standing beneath
high	10	high.r.01	
laying behind	10	put.v.01	laying behind
riding inside	10	be.v.01|depend_on.v.01	
standing at a	10	be.v.01|stand.v.01	standing at
standing in middle of	10	be.v.01|stand.v.01	standing in middle of
signing	10	be.v.01|sign.v.02	signing
shopping	10	be.v.01|shop.v.01	
fence behind	10	argue.v.02	
stating	10	be.v.01|state.v.01	
wears a red	10	wear.v.01	
embracing	10	be.v.01|embrace.v.01	
reaching toward	10	achieve.v.01	
are holding a	10	be.v.01	holding
eyes	10	eye.v.01	eyes
floats in	10	float.v.01	
hides	10	hide.v.01	
sucking	10	absorb.v.04|be.v.01	sucking
visible	10		
turn	10	become.v.02	
diving for	10	dive.v.01	
brand	10	be.v.01|stigmatize.v.01	
railroad	10		
gold	10		
can be	10	be.v.01	
feed	10	feed.v.01	
reclining on	10	along.r.01|be.v.01	
wrapped with	10	be.v.01|wind.v.03	
down middle of	10	down.r.01	
at bottom	10	penetrate.v.02	
guides	10	lead.v.01	
way	10	way.r.01	
etched in	10	in.r.01	
holding back	10	be.v.01|have.v.01	
splashing behind	10	behind.r.01	
crashed in	10	in.r.01	
all	10	be.v.01|wholly.r.01	all
nearing	10	approach.v.01|be.v.01	
running on a	10	be.v.01|run.v.01	running on
climbs	10	climb.v.01	climbs
kneels on	10	along.r.01	
for cutting	10	be.v.01|reduce.v.01	
on side of th	10	be.v.01	
ends in	10	end.v.01	
moving across	10	be.v.01|travel.v.01	
extended over	10	over.r.01|run.v.03	
men	10		
separated from	10	be.v.01|divide.v.01	
in background with	10	be.v.01|in.r.01	
hanging below	10	be.v.01|hang.v.01	
i frot of	10	be.v.01	
along bottom of	10	along.r.01	
waiting by	10	be.v.01|wait.v.01	
peaking out of	10	away.r.02	
game	10	be.v.01|bet_on.v.01	
giraffe	10		giraffe
plays in	10	play.v.01	
adding	10	add.v.01|be.v.01	
windows	10		windows
numeral on	10	along.r.01	numeral on
on giraffes	10	along.r.01|be.v.01	
eating some	10	approximately.r.01|be.v.01	eating some
are on h	10	be.v.01	on h
sprouting from	10	be.v.01|shoot.v.19	
anchored on	10	along.r.01	
was taken	10	be.v.01	
over edge of	10	be.v.01|over.r.01	
balancing with	10	balance.v.01|be.v.01	
blows out	10	float.v.01	
are reflected in	10	be.v.01	reflected in
surfing at	10	be.v.01	
visible behind	10	be.v.01|behind.r.01	visible behind
towel	10		
sit atop	10	sit.v.01	
stamped on	10	along.r.01	
hiding under	10	be.v.01|hide.v.01	
and its	10		
are visible in	10	be.v.01	visible in
are next to a	10	be.v.01	next to
belongs to a	10	belong_to.v.01	belongs to
depicted on	10	be.v.01|describe.v.01	depicted on
plays on	10	play.v.01	
depicted in	10	describe.v.01	
tacked on	10	along.r.01|be.v.01	
are using	10	be.v.01	using
riding in a	10	be.v.01|depend_on.v.01	riding in
hand on	10	along.r.01	hand on
rolling toward	10	be.v.01|roll.v.12	
attached to back of	10	back.r.01|be.v.01	
lighting up	10	be.v.01|up.r.01	
hanging o	10	be.v.01|hang.v.01	
in left	10	be.v.01|leave.v.01	
hauls	10	haul.v.01	hauls
all around	10	be.v.01|wholly.r.01	
styled in	10	in.r.01	styled in
wheels on	10	along.r.01	
attached to front of	10	attach.v.01	
posing in	10	put.v.01	
standing in front of a	10	stand.v.01	standing in front of
wearing h	10	be.v.01|wear.v.01	
tilting	10	be.v.01|lean.v.01	
on child	10	along.r.01|be.v.01	
constructed on	10	construct.v.01	constructed on
sticking to	10	be.v.01|stay.v.02	sticking to
paired with	10	be.v.01|match.v.03	
under mans	10	be.v.01|under.r.01	
walking from	10	be.v.01|walk.v.01	walking from
dressed in a	10	be.v.01|in.r.01	dressed in
you	10		
squeezing	10	coerce.v.01	squeezing
rolling through	10	roll.v.12	
in an open	10	open.v.01	
blooming around	10		
tie	10	tie.v.01	
embroidered on	10	along.r.01	embroidered on
flowing on	10	along.r.01|be.v.01	
nestled between	10	be.v.01|cuddle.v.01	
marked in	10	notice.v.02	
not touching	10	be.v.01|not.r.01	
in a field of	10	in.r.01	
o side of	10		
filtering through	10	filter.v.01	
placed on a	10	put.v.01	placed on
skateboarding on a	10	along.r.01	skateboarding on
on catchers	10	along.r.01|be.v.01	
poking out	10	away.r.02	
in other	10	in.r.01	
is beside	10	be.v.01	beside
is under	10	be.v.01	under
occupying	10	be.v.01|take.v.02	
skiing up	10	up.r.01	
linked to	10	associate.v.01|be.v.01	
sliced on	10	along.r.01|be.v.01	
shot into	10	shoot.v.01	
is attached to	10	be.v.01	attached to
crashing in on	10	along.r.01	
running at	10	be.v.01|run.v.01	
share	10	share.v.01	share
linking	10	associate.v.01	linking
wearing pair of	10	wear.v.01	
with bigger	10		
thrown between	10	hold.v.03	
a limb of	10	be.v.01	limb of
in males	10	be.v.01	
adhered to	10	adhere.v.06	
lettering on a white	10		
in a bowl with broccoli and	10		
standing in background of	10	stand.v.01	
covered of	10	traverse.v.01	covered of
dont	10	wear.v.09	
meat and vegetables on	10		
hurding in	10		
cows are drinking	10		
waiting in front	10		
parked left of	9	be.v.01|leave.v.01	parked left of
are on in	9	be.v.01	on in
on it	9	along.r.01	
in street	9	in.r.01	
sink	9	sink.v.01	
in lap of	9	in.r.01	
built underneath	9	construct.v.01	
on at	9	along.r.01|be.v.01	on at
stands beside	9	stand.v.01	
on the side of the	9		on the side of
uncooked	9		uncooked
men in	9	in.r.01	
placed in front of	9	put.v.01	
parking in	9	be.v.01|in.r.01	parking in
walking across a	9	be.v.01|walk.v.01	walking across
driving down a	9	down.r.01	driving down
ceiling	9		ceiling
walking over	9	walk.v.01	walking over
reflected in a	9	be.v.01|chew_over.v.01	reflected in
flies through	9	fly.v.01	
divided into	9	be.v.01|divide.v.01	
over h	9	be.v.01|over.r.01	
casted in	9	roll.v.12	
on sandy	9	along.r.01	
clear blue	9		
sweeping	9	sweep.v.02	
man on a carrier	9		
on yellow	9	along.r.01	
tile	9		
walking out	9	walk.v.01	
charging	9	charge.v.01	charging
spread out on	9	along.r.01|be.v.01	spread out on
on shore of	9	along.r.01	on shore of
surrounded by a	9	be.v.01|by.r.01	surrounded by
on brick	9	along.r.01	
on table	9	along.r.01|be.v.01	
has a pink	9	have.v.01	
three	9		three
